,0.255,0.855,0.455,1.255,0.705,0.805,0.105,0.205,0.555,1.205,1.005,0.505,0.005,0.755,0.055,1.355,0.955,0.905,0.355,1.105,0.605,1.305,1.055,0.655,1.155,0.405,0.305,0.155
4.85,3,63,4,1,252,5,4,1,12,0,12,1,3,41,4,51,52,15,2,86,0,20,5,5,1,3,6,3
4.1,10,1,2,58,1,213,2,19,24,17,43,1,1,64,7,0,2,32,4,29,2,4,163,3,86,2,1,29
2.15,23,2,14,10,20,11,31,8,0,10,35,5,2,9,159,0,8,2,0,31,0,0,2,0,4,2,27,1
3.35,0,0,0,0,3,0,2,1,24,24,12,93,1,11,2,35,0,70,0,14,0,58,28,20,0,1,1,1
2.4,1,50,66,275,5,21,17,85,16,0,18,16,3,150,42,4,17,27,0,14,67,120,17,112,3,63,26,38
2.3,50,1,18,5,77,13,4,83,2,90,117,110,3,193,0,5,24,0,2,79,10,2,5,331,30,21,40,0
3.8,1,95,1,2,4,7,2,0,2,24,22,0,47,73,3,95,17,94,21,2,0,48,0,3,4,30,0,58
2.2,2,7,52,13,16,43,1,45,82,105,20,54,19,102,15,1,47,46,0,9,1,8,0,3,5,12,182,16
4.25,2,1,3,15,2,1,8,5,1,111,33,0,33,22,4,67,1,25,38,24,3,1,0,0,0,21,1,6
4.35,1,274,3,72,1,12,3,6,5,7,10,4,2,60,55,11,34,147,20,4,0,15,50,2,15,3,16,3
3.5,0,57,1,0,16,48,1,7,1,0,0,37,1,0,3,11,10,16,2,29,1,0,3,2,0,0,0,3
2.8,2,11,0,2,17,0,2,0,149,0,0,26,1,15,1,6,0,4,43,4,0,2,5,36,0,0,72,2
2.95,0,29,6,7,2,226,2,29,8,92,1,7,3,10,2,8,108,18,2,4,0,30,9,1,56,0,1,10
1.45,0,12,17,0,11,12,0,99,4,0,0,0,0,137,13,25,78,1,35,9,2,4,0,23,10,0,0,0
2.05,26,42,59,68,0,224,3,73,23,0,2,359,1,102,78,0,16,78,4,217,0,22,0,5,68,2,4,21
1.55,125,5,0,47,3,177,84,83,4,21,12,19,47,14,184,29,19,12,0,0,46,9,102,25,1,9,22,17
2.45,0,10,15,4,12,39,1,24,17,12,7,18,3,7,118,45,0,23,25,2,433,33,0,12,0,79,4,0
3.2,3,8,0,129,244,34,11,10,1,148,30,6,3,87,2,0,0,102,1,40,2,66,2,176,0,7,15,2
4.75,17,185,1,7,43,41,16,0,61,35,12,1,2,11,4,1,32,0,5,11,3,61,74,2,2,1,0,39
2.35,5,0,22,33,89,9,12,65,0,59,106,13,2,120,37,4,5,19,1,0,58,5,121,71,3,0,1,1
4.6,5,155,52,12,47,304,2,0,1,41,11,163,3,15,18,26,0,1,1,3,0,0,2,0,109,6,0,1
4.45,1,80,36,18,34,15,2,2,46,29,4,1,19,5,4,0,4,87,0,51,7,31,0,23,17,9,5,2
1.2,30,4,1,40,2,11,0,0,0,16,6,0,229,1,55,10,95,40,1,0,13,27,59,10,6,1,61,0
3.75,1,13,5,0,15,174,150,0,1,4,1,2,23,402,2,11,10,183,67,58,1,5,6,2,0,4,0,3
4.2,2,6,2,65,45,1,6,1,48,26,14,16,1,8,3,0,66,8,25,140,16,110,3,1,171,1,2,1
3.05,1,0,36,2,12,3,2,5,1,21,8,0,6,0,48,31,14,29,0,0,7,3,8,2,0,1,9,3
2.75,2,0,1,0,0,18,2,5,2,55,13,7,3,0,2,186,6,18,6,18,124,3,14,165,33,11,0,1
3.25,0,230,3,56,17,12,0,0,1,0,32,2,0,68,18,119,0,109,7,1,6,1,3,6,22,4,0,2
3.4,0,0,1,0,38,0,15,3,2,238,0,1,2,8,3,32,66,23,1,0,1,5,1,87,3,1,1,31
1.4,28,7,37,2,97,16,6,5,0,82,50,79,6,4,0,20,80,83,61,2,0,2,20,27,0,3,0,0
1.35,1,0,114,3,18,71,132,55,1,7,9,27,0,10,0,12,6,39,4,2,53,0,7,0,10,14,0,2
1.6,3,2,3,0,4,45,1,23,0,3,9,12,12,5,26,0,23,17,23,83,6,9,0,9,3,0,6,203
4.0,0,81,4,0,9,20,1,12,42,0,2,0,1,115,3,321,19,0,3,9,70,15,0,9,1,8,8,4
4.5,16,111,24,6,1,25,2,0,0,41,37,2,4,2,4,3,1,13,2,6,0,57,22,3,2,0,3,2
3.95,1,51,13,81,31,47,2,98,9,2,114,1,1,6,16,9,23,5,0,10,3,8,9,16,8,3,26,1
2.0,32,24,13,5,1,29,17,0,125,0,116,9,21,44,20,11,57,20,0,40,47,0,25,155,0,1,33,0
4.8,1,4,0,148,74,7,3,4,0,0,12,2,3,77,8,88,50,89,2,1,1,5,31,5,63,3,15,0
2.5,3,0,0,5,23,38,1,1,0,3,16,3,2,26,1,103,49,22,4,1,0,186,16,5,25,3,4,3
