,abs_amplitude,amplitude_squared,surface_energy,param_0,real_group_sampling_width
268,0.0032148377735734574,1.0335181910394744e-05,159.9356855766792,-0.0032148377735734574,0.07896771680377061
269,0.011908686391559835,0.0001418168115725224,159.93644408250472,0.011908686391559835,0.07894204953216946
270,0.002504611298612963,6.273077757139712e-06,159.93566216041762,-0.002504611298612963,0.08172928358637284
271,0.0033771368918981085,1.1405053586619217e-05,159.9356917441996,-0.0033771368918981085,0.08170310698289644
272,0.0017602736308366172,3.0985632554187274e-06,159.93564386146053,-0.0017602736308366172,0.0802696312979
273,0.0007903201892674465,6.246060015637325e-07,159.9356296011964,-0.0007903201892674465,0.07886647423473114
274,0.009228173126385238,8.51591792505387e-05,159.9361170937153,0.009228173126385238,0.07884176133853436
275,0.0020213663468440935,4.085921908153836e-06,159.93564955285484,0.0020213663468440935,0.07881723445448119
276,0.008930413515039221,7.975228554959518e-05,159.93608589961445,0.008930413515039221,0.0787928914914477
277,0.003293611271057869,1.0847875204839431e-05,159.93568853220802,-0.003293611271057869,0.08150450297391686
278,0.005838590341646529,3.408913717756813e-05,159.93582252907456,0.005838590341646529,0.08147968879333108
279,0.0029067331836616327,8.44909780099969e-06,159.93567470409403,0.0029067331836616327,0.08284745278625656
280,0.006931266488507975,4.804245513471367e-05,159.93590299319345,-0.006931266488507975,0.08282258666766398
281,0.0021005148484738705,4.412162628659207e-06,159.9356514334057,0.0021005148484738705,0.08279790358812789
282,0.0018413127915187927,3.390432796210729e-06,159.93564554386663,-0.0018413127915187927,0.0841732561188177
283,0.006034621870050724,3.6416661114494494e-05,159.9358359502591,-0.006034621870050724,0.08556659593974682
284,0.007881463379719254,6.211746500585565e-05,159.9359841717192,-0.007881463379719254,0.088438684518793
285,0.011080720987071706,0.00012278237759333138,159.9363342059093,0.011080720987071706,0.08841305811810175
286,0.01170978474731059,0.0001371190588283477,159.93641696248676,0.01170978474731059,0.08986148083065226
287,0.006917502205470211,4.785183676268523e-05,159.9359018938769,0.006917502205470211,0.08836741659671908
288,0.0015355481854758069,2.357908229918043e-06,159.93563959217167,0.0015355481854758069,0.08548771000700381
289,0.018443811893127698,0.0003401741971490787,159.93759048694486,0.018443811893127698,0.08687390647378404
290,0.00610832208793876,3.731159873000053e-05,159.93584111082393,0.00610832208793876,0.08406211024079784
291,0.012505456113051166,0.00015638643259544878,159.9365282015928,-0.012505456113051166,0.08403874052451028
292,0.01178852839686026,0.00013896940176358073,159.93642764430476,-0.01178852839686026,0.08133706931012717
293,0.0006856395473155267,4.701015888430404e-07,159.9356287106226,0.0006856395473155267,0.08263824555365361
294,0.004223692388658633,1.783957739401287e-05,159.9357288390346,0.004223692388658633,0.08395581234107831
295,0.003598563425901471,1.2949658730235733e-05,159.9357006485593,0.003598563425901471,0.08259785875067263
296,0.004450447664895562,1.980648441797436e-05,159.93574017872393,-0.004450447664895562,0.0799778799808189
297,0.005924494965239873,3.5099640593152604e-05,159.9358283558905,-0.005924494965239873,0.07744942633634223
298,0.00262151059680683,6.872317809170503e-06,159.93566561470905,0.00262151059680683,0.07742888915230145
299,0.003358348393253605,1.1278503930469071e-05,159.93569101467128,0.003358348393253605,0.07499716278081255
300,0.005173008567813072,2.6760017642667456e-05,159.93578026949473,-0.005173008567813072,0.07264954770233101
301,0.007095420086493432,5.0344986203814465e-05,159.93591627232038,-0.007095420086493432,0.07495024508940289
302,0.011273361859100054,0.00012708868760621182,159.9363590621234,0.011273361859100054,0.07261941877557476
303,0.010832736563678655,0.00011734818145806043,159.93630284118353,0.010832736563678655,0.07490397113101155
304,0.005284404314238255,2.792492895633988e-05,159.93578698612347,0.005284404314238255,0.07258969587943312
305,0.006860504946492717,4.706652812085103e-05,159.93589736494255,0.006860504946492717,0.0725713160598661
306,0.015668801986101155,0.0002455113556796475,159.9370430691914,0.015668801986101155,0.07718243248398769
307,0.012987789793389095,0.00016868268371726195,159.93659920575908,0.012987789793389095,0.07836169987256354
308,0.001311077106365605,1.718923178836008e-06,159.93563590895786,0.001311077106365605,0.07714781759495506
309,0.004466827709661502,1.9952549787799818e-05,159.9357410208356,-0.004466827709661502,0.07831904244199903
310,0.0013332896445223102,1.7776612761904283e-06,159.93563624753273,0.0013332896445223102,0.07829984311796599
311,0.023081879650390897,0.0005327731681951294,159.93870602616454,-0.023081879650390897,0.07709863923578547
312,0.0050490827757277935,2.549323687615108e-05,159.93577296560733,0.0050490827757277935,0.08066842654360591
313,0.007156669424759954,5.121791725529397e-05,159.9359213067658,0.007156669424759954,0.08064902656269689
314,0.004549808970209681,2.0700761665400474e-05,159.93574533452818,-0.004549808970209681,0.08435915703055637
315,0.012772883192126938,0.00016314654503971884,159.93656723636727,-0.012772883192126938,0.08691186114256888
316,0.004076788586344481,1.6620205177748635e-05,159.93572180918673,-0.004076788586344481,0.08953348141778666
317,0.006819385564381844,4.650401947569948e-05,159.93589412093695,-0.006819385564381844,0.08818598268922213
318,0.004035393816495885,1.6284403254213223e-05,159.93571987325942,0.004035393816495885,0.08948745185393382
319,0.00680500036568777,4.6308029977010685e-05,159.93589299066394,-0.00680500036568777,0.08946672881156953
320,0.004552787453908377,2.0727873600465524e-05,159.93574549083823,-0.004552787453908377,0.08813287917894867
321,0.0024699427565054713,6.100617220413846e-06,159.93566116628116,-0.0024699427565054713,0.08942158601298181
322,0.01334451934920301,0.00017807619666125352,159.93665345472468,-0.01334451934920301,0.09343198754507025
323,0.009167945986132799,8.40512336046485e-05,159.93611070146937,0.009167945986132799,0.09478984283399228
324,0.003033767383109948,9.203744534821782e-06,159.9356790543291,0.003033767383109948,0.09339410737345423
325,0.00992712675047841,9.854784552006404e-05,159.9361943452875,0.00992712675047841,0.09474317980205939
326,0.00992712675047841,9.854784552006404e-05,159.9361943452875,0.00992712675047841,0.090684545692201
327,0.015097266778253834,0.00022792746417376692,159.93694144809973,-0.015097266778253834,0.0893615292389986
328,0.004033425291286797,1.6268519580391984e-05,159.93571978168885,-0.004033425291286797,0.08934194984665067
329,0.005940645195096019,3.529126533401742e-05,159.93582946085414,0.005940645195096019,0.08804645735087699
330,0.005940645195096019,3.529126533401742e-05,159.93582946085414,0.005940645195096019,0.08431939730283096
331,0.0003380500914717966,1.1427786434409006e-07,159.93562665963663,0.0003380500914717966,0.08430125436980182
