,1.305,1.105,0.305,0.705,1.005,0.405,0.255,0.505,0.655,1.205,0.555,0.805,0.005,0.355,0.905,1.055,0.605,0.055,0.755,0.105,0.955,1.155,0.205,1.255,0.455,1.355,0.855,0.155
0.35,23,38,22,11,67,0,7,32,29,7,1,2,1,9,114,0,39,2,1,3,81,0,0,4,14,0,37,10
0.1,34,21,3,0,0,2,0,1,28,6,0,8,2,52,15,28,2,13,2,20,0,7,2,44,5,2,1,3
0.3,24,53,1,374,90,0,2,0,25,28,39,2,3,6,0,0,0,1,2,0,0,0,2,116,0,0,7,4
0.85,185,18,0,9,8,79,38,26,42,2,24,0,20,47,11,16,2,84,7,6,12,0,52,78,4,24,227,0
0.25,30,14,0,2,1,19,1,78,152,1,2,22,3,26,2,1,4,14,342,10,9,18,1,72,17,22,5,2
0.9,26,32,4,14,32,0,3,3,80,28,7,0,8,0,0,0,155,17,2,0,26,11,32,1,100,22,41,0
0.15,19,250,3,58,33,0,4,2,1,0,7,4,4,0,185,102,3,16,1,12,4,57,2,1,0,1,179,0
0.65,62,82,8,60,50,4,0,1,5,17,1,0,5,12,3,8,193,21,38,18,34,124,117,18,50,62,37,7
0.6,17,20,1,3,34,23,5,22,26,128,23,0,3,135,4,0,5,7,52,1,7,3,6,0,3,0,5,2
0.75,26,4,5,9,9,9,6,155,27,6,87,103,9,12,0,17,19,15,2,5,39,99,13,18,2,58,135,78
0.8,4,2,8,1,26,90,0,1,11,0,15,21,14,53,1,18,1,85,407,2,0,124,7,13,95,3,0,5
0.45,80,0,21,22,9,9,0,132,104,2,73,67,2,196,44,69,12,17,64,1,1,44,22,18,156,13,78,9
0.7,30,16,9,18,19,2,7,12,15,158,43,9,20,112,1,8,52,2,38,2,6,11,58,143,17,9,27,12
0.0,22,276,4,14,17,22,0,3,4,0,42,18,1,3,46,22,1,67,49,26,0,63,72,26,0,2,69,77
0.55,6,11,83,106,21,17,3,0,5,7,43,22,2,450,0,3,11,7,7,1,12,0,0,161,126,21,14,169
0.2,1,0,1,1,1,2,1,2,89,0,0,27,10,0,5,24,3,14,56,19,222,5,0,0,174,90,14,1
0.95,80,13,1,261,19,1,0,2,5,0,5,121,105,0,67,18,9,29,7,28,41,55,1,18,6,49,4,4
0.4,10,3,0,14,20,0,2,31,14,157,1,0,1,2,54,0,60,1,0,1,55,2,23,0,9,1,78,42
0.5,24,4,5,0,234,6,13,8,10,30,3,2,0,37,103,0,14,10,16,8,179,11,1,0,470,23,0,0
0.05,1,9,3,11,19,2,6,15,18,0,11,26,1,8,155,0,4,19,3,15,1,2,23,0,0,34,16,23
