,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.003141524720878617,0.00628234689654616,0.00942176485462195,0.012559078665734299,0.015693591008399226,0.018824608025993863,0.02195144017325605,0.025073403049802462,0.028189818218229107,0.03130001400444342,0.03440332627797435,0.037499099210115364,0.04058668600787494
0.2,0.01256769739566163,0.025124355255363696,0.03765898791720562,0.05016071682442575,0.06261882248468993,0.07502279455661079,0.08736237950305478,0.09962762530263347,0.11180892277217486,0.12389704312191452,0.135883171439446,0.14775893587585776,0.15951643238572769
0.3,0.028301801348942453,0.05654931854451878,0.08468884602781301,0.11266782037727328,0.14043535446894118,0.16794272930889478,0.1951438325410662,0.22199553500307698,0.24845799932950965,0.2744949173153327,0.30007367538985813,0.3251654499730233,0.3497452365812233
0.4,0.05044732019443749,0.10072959234350982,0.1506847715149152,0.2001566859686172,0.2489976519644656,0.29707073126984895,0.3442515564504912,0.39042967984848925,0.4355094333390317,0.4794103145166184,0.5220669386194986,0.5634286128980122,0.6034586008348508
0.5,0.07929999391331616,0.15821530274697432,0.23637163901040315,0.31341482794483205,0.38901923943473504,0.4628944839004987,0.534790107173991,0.60449821591767,0.6718541420788344,0.7367353917629388,0.7990592107918717,0.8587791360825707,0.9158808962839491
0.6,0.11555560922196777,0.2303536294057207,0.3436642487747481,0.45481074245335495,0.5631902445189235,0.6682886079882887,0.7696888074119834,0.8670731273366199,0.9602199931020315,1.0489966700681956,1.1333491823246042,1.2132907293462925,1.2888896782918013
0.7,0.16074591386665435,0.32016154077394676,0.47697859800725756,0.6300458183518735,0.7783713993162658,0.9211497204681602,1.057771834765782,1.187821525064221,1.3110601941530438,1.4274044271569055,1.5368998834663237,1.6396945194148609,1.7360132934465708
0.8,0.21838890511675876,0.43462169374709536,0.6466637684265288,0.8527069869584979,1.0512455027086824,1.2411165989229977,1.4215074804620964,1.5919342014871942,1.7522015488545444,1.9023529053830475,2.042617664309517,2.173361577202706,2.2950432167083417
0.9,0.29846377491507625,0.593612972560581,0.8823494762737494,1.161973692957553,1.4303076285983745,1.6857497236185628,1.9272670909319578,2.154340739014772,2.3668829013042014,2.5651439406239644,2.749621830578869,2.9209821309935617,3.0799920422091267
